,pos_x,pscale
0,0.0,1.0
1,0.3125,0.9864434003829956
2,0.625,0.9728867411613464
3,0.9375,0.9593300819396973
4,1.25,0.9457735419273376
5,1.5625,0.9322169423103333
6,1.875,0.9186602830886841
7,2.1875,0.9051036238670349
8,2.5,0.8915470242500305
9,2.8125,0.8779904246330261
10,3.125,0.8644338250160217
11,3.4375,0.8508771657943726
12,3.75,0.8373205661773682
13,4.0625,0.8237639665603638
14,4.375,0.8102073073387146
15,4.6875,0.7966506481170654
16,5.0,0.7830941081047058
17,5.3125,0.7695374488830566
18,5.625,0.7559808492660522
19,5.9375,0.7424242496490479
20,6.25,0.7288675904273987
21,6.5625,0.7153109908103943
22,6.875,0.7017543911933899
23,7.1875,0.6881977319717407
24,7.5,0.6746411323547363
25,7.8125,0.6610845327377319
26,8.125,0.6475278735160828
27,8.4375,0.6339712738990784
28,8.75,0.6204146146774292
29,9.0625,0.6068580150604248
30,9.375,0.5933014154434204
31,9.6875,0.579744815826416
32,10.0,0.5661881566047668
